,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,TransportMeans,WklyStudyHours,NrSiblings,MathScore,ReadingScore,WritingScore,Average
0,female,group C,bachelor's degree,standard,none,married,regularly,yes,school_bus,< 5,3.0,71.0,71.0,74.0,72.0
1,female,group C,some college,standard,none,married,sometimes,yes,school_bus,5 - 10,0.0,69.0,90.0,88.0,82.33333333333333
2,female,group B,master's degree,standard,none,single,sometimes,yes,school_bus,< 5,4.0,87.0,93.0,91.0,90.33333333333333
3,male,group A,associate's degree,free/reduced,none,married,never,no,school_bus,5 - 10,1.0,45.0,56.0,42.0,47.666666666666664
4,male,group C,some college,standard,none,married,sometimes,yes,school_bus,5 - 10,0.0,76.0,78.0,75.0,76.33333333333333
5,female,group B,associate's degree,standard,none,married,regularly,yes,school_bus,5 - 10,1.0,73.0,84.0,79.0,78.66666666666667
6,female,group B,some college,standard,completed,widowed,never,no,private,5 - 10,1.0,85.0,93.0,89.0,89.0
7,male,group B,some college,free/reduced,none,married,sometimes,yes,private,> 10,1.0,41.0,43.0,39.0,41.0
8,male,group D,high school,free/reduced,completed,single,sometimes,no,private,> 10,3.0,65.0,64.0,68.0,65.66666666666667
9,female,group B,high school,free/reduced,none,married,regularly,yes,private,< 5,2.0,37.0,59.0,50.0,48.666666666666664
10,male,group C,associate's degree,standard,none,married,sometimes,yes,private,5 - 10,1.0,58.0,54.0,52.0,54.666666666666664
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,school_bus,5 - 10,1.0,40.0,52.0,43.0,45.0
12,female,group B,high school,standard,none,married,regularly,no,private,5 - 10,1.0,66.0,82.0,74.0,74.0
13,male,group A,some college,standard,completed,single,sometimes,yes,private,> 10,1.0,80.0,73.0,71.0,74.66666666666667
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,private,< 5,2.0,48.0,53.0,58.0,53.0
15,female,group C,some high school,standard,none,married,sometimes,yes,private,5 - 10,0.0,69.0,75.0,78.0,74.0
16,male,group C,high school,standard,none,married,sometimes,yes,school_bus,5 - 10,0.0,88.0,89.0,86.0,87.66666666666667
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,school_bus,5 - 10,1.0,23.0,32.0,28.0,27.833333333333332
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,private,5 - 10,1.0,46.0,42.0,47.0,45.0
19,female,group C,associate's degree,free/reduced,none,married,never,yes,private,< 5,3.0,50.0,56.0,58.0,54.666666666666664
20,male,group D,high school,standard,none,married,sometimes,yes,school_bus,5 - 10,5.0,66.0,69.0,63.0,66.0
21,female,group B,some college,free/reduced,completed,married,sometimes,no,school_bus,5 - 10,2.0,65.0,75.0,70.0,70.0
22,male,group D,some college,standard,none,married,never,yes,school_bus,5 - 10,5.0,42.0,53.0,51.0,48.666666666666664
23,female,group C,some high school,standard,none,divorced,never,no,school_bus,5 - 10,3.0,66.0,71.0,71.0,69.33333333333333
24,male,group D,some college,free/reduced,completed,married,sometimes,yes,school_bus,5 - 10,2.0,74.0,71.0,80.0,75.0
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,school_bus,5 - 10,1.0,75.0,76.0,76.0,75.66666666666667
26,male,group B,some college,standard,none,married,sometimes,yes,school_bus,< 5,5.0,66.0,53.0,53.0,57.333333333333336
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,school_bus,> 10,4.0,69.0,70.0,76.0,71.66666666666667
28,male,group C,high school,standard,none,married,sometimes,no,private,5 - 10,1.0,70.0,70.0,65.0,68.33333333333333
29,female,group D,some college,standard,none,single,sometimes,yes,private,< 5,0.0,66.0,72.0,72.0,70.0
30,female,group B,some college,standard,none,single,sometimes,yes,school_bus,5 - 10,5.0,63.0,65.0,61.0,63.0
31,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,school_bus,5 - 10,1.0,56.0,73.0,66.0,65.0
32,male,group C,some college,standard,none,married,sometimes,no,private,5 - 10,2.0,40.0,42.0,38.0,40.0
33,male,group E,some college,standard,none,divorced,sometimes,yes,school_bus,5 - 10,0.0,97.0,87.0,82.0,88.66666666666667
34,male,group E,associate's degree,standard,completed,single,sometimes,no,school_bus,5 - 10,1.0,81.0,81.0,79.0,80.33333333333333
35,female,group D,associate's degree,standard,none,married,regularly,no,private,5 - 10,2.0,76.0,82.0,85.0,81.0
36,female,group D,some high school,free/reduced,none,married,regularly,yes,private,5 - 10,1.0,51.0,64.0,60.0,58.333333333333336
37,female,group D,associate's degree,free/reduced,completed,married,regularly,no,school_bus,5 - 10,1.0,77.0,91.0,90.0,86.0
38,male,group B,associate's degree,free/reduced,none,single,regularly,yes,school_bus,5 - 10,5.0,58.0,56.0,58.0,57.333333333333336
